Study,Sample,Mouse,Vendor (full),Vendor name,Location [Geographical region (city/state)],Country ,Centre Name,Institute,Country,Location [Geographical region (city/state)],Continent,Compartment,Alternative sample name,Biosample number,Diet,Dietary Supplement,Age,Sex,Barrier,Publication,Genetic background,Strain,Genotype,Notes,Library Layout,Library Selection,Treatment,Exclude,Luminal contents?,Ex-GF,
PRJEB10308,ERR982829,SV129,"Taconic Biosciences, Laven",Taconic Biosciences,Ry,Denmark,BEIJING GENOME INSTITUTE,"Laboratory of Genomics and Molecular Biomedicine, Department of Biology, University of Copenhagen",Denmark,Copenhagan,Europe,Faeces,SAMEA3504082,SAMEA3504082,Chow,None,17 weeks,Male,,,129/Sv,129/Sv,Wildtype,,PAIRED,RANDOM,Control,,Faecal,,
PRJEB10308,ERR982839,SV129,"Taconic Biosciences, Laven",Taconic Biosciences,Ry,Denmark,BEIJING GENOME INSTITUTE,"Laboratory of Genomics and Molecular Biomedicine, Department of Biology, University of Copenhagen",Denmark,Copenhagan,Europe,Faeces,SAMEA3504083,SAMEA3504083,Chow,None,17 weeks,Male,,,129/Sv,129/Sv,Wildtype,,PAIRED,RANDOM,Control,,Faecal,,
PRJEB10308,ERR982845,SV129,"Taconic Biosciences, Laven",Taconic Biosciences,Ry,Denmark,BEIJING GENOME INSTITUTE,"Laboratory of Genomics and Molecular Biomedicine, Department of Biology, University of Copenhagen",Denmark,Copenhagan,Europe,Faeces,SAMEA3504084,SAMEA3504084,Chow,None,17 weeks,Male,,,129/Sv,129/Sv,Wildtype,,PAIRED,RANDOM,Control,,Faecal,,
PRJEB10308,ERR982846,SV129,"Taconic Biosciences, Laven",Taconic Biosciences,Ry,Denmark,BEIJING GENOME INSTITUTE,"Laboratory of Genomics and Molecular Biomedicine, Department of Biology, University of Copenhagen",Denmark,Copenhagan,Europe,Faeces,SAMEA3504085,SAMEA3504085,Chow,None,17 weeks,Male,,,129/Sv,129/Sv,Wildtype,,PAIRED,RANDOM,Control,,Faecal,,
PRJEB10308,ERR982847,SV129,"Taconic Biosciences, Laven",Taconic Biosciences,Ry,Denmark,BEIJING GENOME INSTITUTE,"Laboratory of Genomics and Molecular Biomedicine, Department of Biology, University of Copenhagen",Denmark,Copenhagan,Europe,Faeces,SAMEA3504086,SAMEA3504086,Chow,None,17 weeks,Male,,,129/Sv,129/Sv,Wildtype,,PAIRED,RANDOM,Control,,Faecal,,
PRJEB10308,ERR982848,SV129,"Taconic Biosciences, Laven",Taconic Biosciences,Ry,Denmark,BEIJING GENOME INSTITUTE,"Laboratory of Genomics and Molecular Biomedicine, Department of Biology, University of Copenhagen",Denmark,Copenhagan,Europe,Faeces,SAMEA3504087,SAMEA3504087,Chow,None,17 weeks,Male,,,129/Sv,129/Sv,Wildtype,,PAIRED,RANDOM,Control,,Faecal,,
PRJEB10308,ERR982795,SV129,"Taconic Biosciences, Laven",Taconic Biosciences,Ry,Denmark,BEIJING GENOME INSTITUTE,"Laboratory of Genomics and Molecular Biomedicine, Department of Biology, University of Copenhagen",Denmark,Copenhagan,Europe,Faeces,SAMEA3504088,SAMEA3504088,Chow,None,17 weeks,Male,,,129/Sv,129/Sv,Wildtype,,PAIRED,RANDOM,Control,,Faecal,,
PRJEB10308,ERR982797,SV129,"Taconic Biosciences, Laven",Taconic Biosciences,Ry,Denmark,BEIJING GENOME INSTITUTE,"Laboratory of Genomics and Molecular Biomedicine, Department of Biology, University of Copenhagen",Denmark,Copenhagan,Europe,Faeces,SAMEA3504089,SAMEA3504089,High Fat,None,17 weeks,Male,,,129/Sv,129/Sv,Wildtype,,PAIRED,RANDOM,HFD,,Faecal,,
PRJEB10308,ERR982798,SV129,"Taconic Biosciences, Laven",Taconic Biosciences,Ry,Denmark,BEIJING GENOME INSTITUTE,"Laboratory of Genomics and Molecular Biomedicine, Department of Biology, University of Copenhagen",Denmark,Copenhagan,Europe,Faeces,SAMEA3504090,SAMEA3504090,High Fat,None,17 weeks,Male,,,129/Sv,129/Sv,Wildtype,,PAIRED,RANDOM,HFD,,Faecal,,
PRJEB10308,ERR982799,SV129,"Taconic Biosciences, Laven",Taconic Biosciences,Ry,Denmark,BEIJING GENOME INSTITUTE,"Laboratory of Genomics and Molecular Biomedicine, Department of Biology, University of Copenhagen",Denmark,Copenhagan,Europe,Faeces,SAMEA3504091,SAMEA3504091,High Fat,None,17 weeks,Male,,,129/Sv,129/Sv,Wildtype,,PAIRED,RANDOM,HFD,,Faecal,,
PRJEB10308,ERR982800,SV129,"Taconic Biosciences, Laven",Taconic Biosciences,Ry,Denmark,BEIJING GENOME INSTITUTE,"Laboratory of Genomics and Molecular Biomedicine, Department of Biology, University of Copenhagen",Denmark,Copenhagan,Europe,Faeces,SAMEA3504092,SAMEA3504092,High Fat,None,17 weeks,Male,,,129/Sv,129/Sv,Wildtype,,PAIRED,RANDOM,HFD,,Faecal,,
PRJEB10308,ERR982801,SV129,"Taconic Biosciences, Laven",Taconic Biosciences,Ry,Denmark,BEIJING GENOME INSTITUTE,"Laboratory of Genomics and Molecular Biomedicine, Department of Biology, University of Copenhagen",Denmark,Copenhagan,Europe,Faeces,SAMEA3504093,SAMEA3504093,High Fat,None,17 weeks,Male,,,129/Sv,129/Sv,Wildtype,,PAIRED,RANDOM,HFD,,Faecal,,
PRJEB10308,ERR982802,SV129,"Taconic Biosciences, Laven",Taconic Biosciences,Ry,Denmark,BEIJING GENOME INSTITUTE,"Laboratory of Genomics and Molecular Biomedicine, Department of Biology, University of Copenhagen",Denmark,Copenhagan,Europe,Faeces,SAMEA3504094,SAMEA3504094,High Fat,None,17 weeks,Male,,,129/Sv,129/Sv,Wildtype,,PAIRED,RANDOM,HFD,,Faecal,,
PRJEB10308,ERR982803,SV129,"Taconic Biosciences, Laven",Taconic Biosciences,Ry,Denmark,BEIJING GENOME INSTITUTE,"Laboratory of Genomics and Molecular Biomedicine, Department of Biology, University of Copenhagen",Denmark,Copenhagan,Europe,Faeces,SAMEA3504095,SAMEA3504095,High Fat,None,17 weeks,Male,,,129/Sv,129/Sv,Wildtype,,PAIRED,RANDOM,HFD,,Faecal,,
PRJEB10308,ERR982804,SV129,"Taconic Biosciences, Laven",Taconic Biosciences,Ry,Denmark,BEIJING GENOME INSTITUTE,"Laboratory of Genomics and Molecular Biomedicine, Department of Biology, University of Copenhagen",Denmark,Copenhagan,Europe,Faeces,SAMEA3504096,SAMEA3504096,High Fat,None,17 weeks,Male,,,129/Sv,129/Sv,Wildtype,,PAIRED,RANDOM,HFD,,Faecal,,
PRJEB10308,ERR982805,SV129,"Taconic Biosciences, Laven",Taconic Biosciences,Ry,Denmark,BEIJING GENOME INSTITUTE,"Laboratory of Genomics and Molecular Biomedicine, Department of Biology, University of Copenhagen",Denmark,Copenhagan,Europe,Faeces,SAMEA3504097,SAMEA3504097,High Fat,None,17 weeks,Male,,,129/Sv,129/Sv,Wildtype,,PAIRED,RANDOM,HFD,,Faecal,,
PRJEB10308,ERR982806,SV129,"Taconic Biosciences, Laven",Taconic Biosciences,Ry,Denmark,BEIJING GENOME INSTITUTE,"Laboratory of Genomics and Molecular Biomedicine, Department of Biology, University of Copenhagen",Denmark,Copenhagan,Europe,Faeces,SAMEA3504098,SAMEA3504098,High Fat,None,17 weeks,Male,,,129/Sv,129/Sv,Wildtype,,PAIRED,RANDOM,HFD,,Faecal,,
PRJEB10308,ERR982808,SV129,"Taconic Biosciences, Laven",Taconic Biosciences,Ry,Denmark,BEIJING GENOME INSTITUTE,"Laboratory of Genomics and Molecular Biomedicine, Department of Biology, University of Copenhagen",Denmark,Copenhagan,Europe,Faeces,SAMEA3504099,SAMEA3504099,High Fat,Indomethacin,17 weeks,Male,,,129/Sv,129/Sv,Wildtype,,PAIRED,RANDOM,HFD + NSAID,,Faecal,,
PRJEB10308,ERR982809,SV129,"Taconic Biosciences, Laven",Taconic Biosciences,Ry,Denmark,BEIJING GENOME INSTITUTE,"Laboratory of Genomics and Molecular Biomedicine, Department of Biology, University of Copenhagen",Denmark,Copenhagan,Europe,Faeces,SAMEA3504100,SAMEA3504100,High Fat,Indomethacin,17 weeks,Male,,,129/Sv,129/Sv,Wildtype,,PAIRED,RANDOM,HFD + NSAID,,Faecal,,
PRJEB10308,ERR982810,SV129,"Taconic Biosciences, Laven",Taconic Biosciences,Ry,Denmark,BEIJING GENOME INSTITUTE,"Laboratory of Genomics and Molecular Biomedicine, Department of Biology, University of Copenhagen",Denmark,Copenhagan,Europe,Faeces,SAMEA3504101,SAMEA3504101,High Fat,Indomethacin,17 weeks,Male,,,129/Sv,129/Sv,Wildtype,,PAIRED,RANDOM,HFD + NSAID,,Faecal,,
PRJEB10308,ERR982811,SV129,"Taconic Biosciences, Laven",Taconic Biosciences,Ry,Denmark,BEIJING GENOME INSTITUTE,"Laboratory of Genomics and Molecular Biomedicine, Department of Biology, University of Copenhagen",Denmark,Copenhagan,Europe,Faeces,SAMEA3504102,SAMEA3504102,High Fat,Indomethacin,17 weeks,Male,,,129/Sv,129/Sv,Wildtype,,PAIRED,RANDOM,HFD + NSAID,,Faecal,,
PRJEB10308,ERR982812,SV129,"Taconic Biosciences, Laven",Taconic Biosciences,Ry,Denmark,BEIJING GENOME INSTITUTE,"Laboratory of Genomics and Molecular Biomedicine, Department of Biology, University of Copenhagen",Denmark,Copenhagan,Europe,Faeces,SAMEA3504103,SAMEA3504103,High Fat,Indomethacin,17 weeks,Male,,,129/Sv,129/Sv,Wildtype,,PAIRED,RANDOM,HFD + NSAID,,Faecal,,
PRJEB10308,ERR982813,SV129,"Taconic Biosciences, Laven",Taconic Biosciences,Ry,Denmark,BEIJING GENOME INSTITUTE,"Laboratory of Genomics and Molecular Biomedicine, Department of Biology, University of Copenhagen",Denmark,Copenhagan,Europe,Faeces,SAMEA3504104,SAMEA3504104,High Fat,Indomethacin,17 weeks,Male,,,129/Sv,129/Sv,Wildtype,,PAIRED,RANDOM,HFD + NSAID,,Faecal,,
PRJEB10308,ERR982814,SV129,"Taconic Biosciences, Laven",Taconic Biosciences,Ry,Denmark,BEIJING GENOME INSTITUTE,"Laboratory of Genomics and Molecular Biomedicine, Department of Biology, University of Copenhagen",Denmark,Copenhagan,Europe,Faeces,SAMEA3504105,SAMEA3504105,High Fat,Indomethacin,17 weeks,Male,,,129/Sv,129/Sv,Wildtype,,PAIRED,RANDOM,HFD + NSAID,,Faecal,,
PRJEB10308,ERR982815,SV129,"Taconic Biosciences, Laven",Taconic Biosciences,Ry,Denmark,BEIJING GENOME INSTITUTE,"Laboratory of Genomics and Molecular Biomedicine, Department of Biology, University of Copenhagen",Denmark,Copenhagan,Europe,Faeces,SAMEA3504106,SAMEA3504106,High Fat,Indomethacin,17 weeks,Male,,,129/Sv,129/Sv,Wildtype,,PAIRED,RANDOM,HFD + NSAID,,Faecal,,
PRJEB10308,ERR982816,SV129,"Taconic Biosciences, Laven",Taconic Biosciences,Ry,Denmark,BEIJING GENOME INSTITUTE,"Laboratory of Genomics and Molecular Biomedicine, Department of Biology, University of Copenhagen",Denmark,Copenhagan,Europe,Faeces,SAMEA3504107,SAMEA3504107,High Fat,Indomethacin,17 weeks,Male,,,129/Sv,129/Sv,Wildtype,,PAIRED,RANDOM,HFD + NSAID,,Faecal,,
PRJEB10308,ERR982817,SV129,"Taconic Biosciences, Laven",Taconic Biosciences,Ry,Denmark,BEIJING GENOME INSTITUTE,"Laboratory of Genomics and Molecular Biomedicine, Department of Biology, University of Copenhagen",Denmark,Copenhagan,Europe,Faeces,SAMEA3504108,SAMEA3504108,High Fat,Indomethacin,17 weeks,Male,,,129/Sv,129/Sv,Wildtype,,PAIRED,RANDOM,HFD + NSAID,,Faecal,,
PRJEB10308,ERR982819,C57BL/6,"Taconic Biosciences, Laven",Taconic Biosciences,Ry,Denmark,BEIJING GENOME INSTITUTE,"Laboratory of Genomics and Molecular Biomedicine, Department of Biology, University of Copenhagen",Denmark,Copenhagan,Europe,Faeces,SAMEA3504109,SAMEA3504109,Chow,None,17 weeks,Male,,,C57BL/6,C57BL/6JBomTac,Wildtype,C57BL/6JBomTac,PAIRED,RANDOM,Control,,Faecal,,
PRJEB10308,ERR982820,C57BL/6,"Taconic Biosciences, Laven",Taconic Biosciences,Ry,Denmark,BEIJING GENOME INSTITUTE,"Laboratory of Genomics and Molecular Biomedicine, Department of Biology, University of Copenhagen",Denmark,Copenhagan,Europe,Faeces,SAMEA3504110,SAMEA3504110,Chow,None,17 weeks,Male,,,C57BL/6,C57BL/6JBomTac,Wildtype,C57BL/6JBomTac,PAIRED,RANDOM,Control,,Faecal,,
PRJEB10308,ERR982821,C57BL/6,"Taconic Biosciences, Laven",Taconic Biosciences,Ry,Denmark,BEIJING GENOME INSTITUTE,"Laboratory of Genomics and Molecular Biomedicine, Department of Biology, University of Copenhagen",Denmark,Copenhagan,Europe,Faeces,SAMEA3504111,SAMEA3504111,Chow,None,17 weeks,Male,,,C57BL/6,C57BL/6JBomTac,Wildtype,C57BL/6JBomTac,PAIRED,RANDOM,Control,,Faecal,,
PRJEB10308,ERR982822,C57BL/6,"Taconic Biosciences, Laven",Taconic Biosciences,Ry,Denmark,BEIJING GENOME INSTITUTE,"Laboratory of Genomics and Molecular Biomedicine, Department of Biology, University of Copenhagen",Denmark,Copenhagan,Europe,Faeces,SAMEA3504112,SAMEA3504112,Chow,None,17 weeks,Male,,,C57BL/6,C57BL/6JBomTac,Wildtype,C57BL/6JBomTac,PAIRED,RANDOM,Control,,Faecal,,
PRJEB10308,ERR982823,C57BL/6,"Taconic Biosciences, Laven",Taconic Biosciences,Ry,Denmark,BEIJING GENOME INSTITUTE,"Laboratory of Genomics and Molecular Biomedicine, Department of Biology, University of Copenhagen",Denmark,Copenhagan,Europe,Faeces,SAMEA3504113,SAMEA3504113,Chow,None,17 weeks,Male,,,C57BL/6,C57BL/6JBomTac,Wildtype,C57BL/6JBomTac,PAIRED,RANDOM,Control,,Faecal,,
PRJEB10308,ERR982824,C57BL/6,"Taconic Biosciences, Laven",Taconic Biosciences,Ry,Denmark,BEIJING GENOME INSTITUTE,"Laboratory of Genomics and Molecular Biomedicine, Department of Biology, University of Copenhagen",Denmark,Copenhagan,Europe,Faeces,SAMEA3504114,SAMEA3504114,Chow,None,17 weeks,Male,,,C57BL/6,C57BL/6JBomTac,Wildtype,C57BL/6JBomTac,PAIRED,RANDOM,Control,,Faecal,,
PRJEB10308,ERR982825,C57BL/6,"Taconic Biosciences, Laven",Taconic Biosciences,Ry,Denmark,BEIJING GENOME INSTITUTE,"Laboratory of Genomics and Molecular Biomedicine, Department of Biology, University of Copenhagen",Denmark,Copenhagan,Europe,Faeces,SAMEA3504115,SAMEA3504115,Chow,None,17 weeks,Male,,,C57BL/6,C57BL/6JBomTac,Wildtype,C57BL/6JBomTac,PAIRED,RANDOM,Control,,Faecal,,
PRJEB10308,ERR982826,C57BL/6,"Taconic Biosciences, Laven",Taconic Biosciences,Ry,Denmark,BEIJING GENOME INSTITUTE,"Laboratory of Genomics and Molecular Biomedicine, Department of Biology, University of Copenhagen",Denmark,Copenhagan,Europe,Faeces,SAMEA3504116,SAMEA3504116,High Fat,None,17 weeks,Male,,,C57BL/6,C57BL/6JBomTac,Wildtype,C57BL/6JBomTac,PAIRED,RANDOM,HFD,,Faecal,,
PRJEB10308,ERR982827,C57BL/6,"Taconic Biosciences, Laven",Taconic Biosciences,Ry,Denmark,BEIJING GENOME INSTITUTE,"Laboratory of Genomics and Molecular Biomedicine, Department of Biology, University of Copenhagen",Denmark,Copenhagan,Europe,Faeces,SAMEA3504117,SAMEA3504117,High Fat,None,17 weeks,Male,,,C57BL/6,C57BL/6JBomTac,Wildtype,C57BL/6JBomTac,PAIRED,RANDOM,HFD,,Faecal,,
PRJEB10308,ERR982828,C57BL/6,"Taconic Biosciences, Laven",Taconic Biosciences,Ry,Denmark,BEIJING GENOME INSTITUTE,"Laboratory of Genomics and Molecular Biomedicine, Department of Biology, University of Copenhagen",Denmark,Copenhagan,Europe,Faeces,SAMEA3504118,SAMEA3504118,High Fat,None,17 weeks,Male,,,C57BL/6,C57BL/6JBomTac,Wildtype,C57BL/6JBomTac,PAIRED,RANDOM,HFD,,Faecal,,
PRJEB10308,ERR982830,C57BL/6,"Taconic Biosciences, Laven",Taconic Biosciences,Ry,Denmark,BEIJING GENOME INSTITUTE,"Laboratory of Genomics and Molecular Biomedicine, Department of Biology, University of Copenhagen",Denmark,Copenhagan,Europe,Faeces,SAMEA3504119,SAMEA3504119,High Fat,None,17 weeks,Male,,,C57BL/6,C57BL/6JBomTac,Wildtype,C57BL/6JBomTac,PAIRED,RANDOM,HFD,,Faecal,,
PRJEB10308,ERR982831,C57BL/6,"Taconic Biosciences, Laven",Taconic Biosciences,Ry,Denmark,BEIJING GENOME INSTITUTE,"Laboratory of Genomics and Molecular Biomedicine, Department of Biology, University of Copenhagen",Denmark,Copenhagan,Europe,Faeces,SAMEA3504120,SAMEA3504120,High Fat,None,17 weeks,Male,,,C57BL/6,C57BL/6JBomTac,Wildtype,C57BL/6JBomTac,PAIRED,RANDOM,HFD,,Faecal,,
PRJEB10308,ERR982832,C57BL/6,"Taconic Biosciences, Laven",Taconic Biosciences,Ry,Denmark,BEIJING GENOME INSTITUTE,"Laboratory of Genomics and Molecular Biomedicine, Department of Biology, University of Copenhagen",Denmark,Copenhagan,Europe,Faeces,SAMEA3504121,SAMEA3504121,High Fat,None,17 weeks,Male,,,C57BL/6,C57BL/6JBomTac,Wildtype,C57BL/6JBomTac,PAIRED,RANDOM,HFD,,Faecal,,
PRJEB10308,ERR982833,C57BL/6,"Taconic Biosciences, Laven",Taconic Biosciences,Ry,Denmark,BEIJING GENOME INSTITUTE,"Laboratory of Genomics and Molecular Biomedicine, Department of Biology, University of Copenhagen",Denmark,Copenhagan,Europe,Faeces,SAMEA3504122,SAMEA3504122,High Fat,None,17 weeks,Male,,,C57BL/6,C57BL/6JBomTac,Wildtype,C57BL/6JBomTac,PAIRED,RANDOM,HFD,,Faecal,,
PRJEB10308,ERR982834,C57BL/6,"Taconic Biosciences, Laven",Taconic Biosciences,Ry,Denmark,BEIJING GENOME INSTITUTE,"Laboratory of Genomics and Molecular Biomedicine, Department of Biology, University of Copenhagen",Denmark,Copenhagan,Europe,Faeces,SAMEA3504123,SAMEA3504123,High Fat,None,17 weeks,Male,,,C57BL/6,C57BL/6JBomTac,Wildtype,C57BL/6JBomTac,PAIRED,RANDOM,HFD,,Faecal,,
