GUT_GENOME000159	s__UBA1191 sp900066305	species__UBA1191 sp900066305	species	UBA1191 sp900066305	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__UBA1191;s__UBA1191 sp900066305
GUT_GENOME000818	s__Mediterraneibacter_A butyricigenes	species__Mediterraneibacter_A butyricigenes	species	Mediterraneibacter_A butyricigenes	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter_A;s__Mediterraneibacter_A butyricigenes
GUT_GENOME000979	s__Lawsonibacter sp003478995	species__Lawsonibacter sp003478995	species	Lawsonibacter sp003478995	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp003478995
GUT_GENOME159779	s__Coprococcus sp900066115	species__Coprococcus sp900066115	species	Coprococcus sp900066115	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus sp900066115
GUT_GENOME247997	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME009891	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME170743	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME262508	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME125113	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME034155	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME014018	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME239156	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME089740	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME231097	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME087560	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME016811	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME087756	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME122703	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME271957	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME247837	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME254286	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME016613	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME251603	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME017428	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME275777	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME155865	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME264392	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME197323	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME249411	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME155175	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME149357	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME079514	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME085159	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME263108	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME098965	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME115355	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME211526	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME248706	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME233915	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME263346	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME245626	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME129493	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME223182	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME266551	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME228950	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME159793	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME256873	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME032357	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME023954	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME228532	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME197027	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME275460	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME156424	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
GUT_GENOME280724	s__Faecalibacterium prausnitzii_E	species__Faecalibacterium prausnitzii_E	species	Faecalibacterium prausnitzii_E	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E
